FIRMWARE REVISION HISTORY,ZW3005 / 14321,Jasco,"In-Wall Paddle Dimmer, 500S"
Manufacturer ID,0x0063,,
Product Type ID,0x4944,,
Product ID,0x3135,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.23,6.51.08,TBD,1648
5.26,6.51.08,1. Added parameter 16 for switch mode,1705
,,2. Added parameter 19 for alternate exclusion,
,,3. Modified the value for parameter 3 (Default = 0),
,,4. Modified Switch Mode (Dim the light manually),
,,5. Added parameter 20 (Press and hold the bottom button to turn the light to its lowest dimming level),
,,6. Modified the feature for Add-On Switch,
5.29,6.51.08,1. Fixed scene actuator and scene activation,1802
,,2. Modified the dimming duration for Command Class Switch_Multilevel_Set,
