FIRMWARE REVISION HISTORY,ZW4005 / 14318,Jasco,"In-Wall Paddle Switch, 500S"
Manufacturer ID,0x0063,,
Product Type ID,0x4952,,
Product ID,0x3130,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.07,6.51.06,1. Original Release Firmware,1535
5.20,6.51.06,1. Modify the default setting for LED indication,1648
,,2. Fixed an issue where node info was automatically sent in NWI mode,
,,"3. Fixed the reset and exclusion failure for the host device if associated with G1, G2 and G3",
5.22,6.51.10,1. Fixed AGI issue,1749
,,2. Updated the devkit from 6.51.06 to 6.51.10,
5.24,6.51.10,1. Added parameter 19 for alternate exclusion,1848
